ticker,last_close,expected_close_10bar,expected_return_10bar,median_return_10bar,probability_up,downside_p10,expected_peak_return_10bar,forecast_dispersion,predicted_up,rank
FORE,635.0,637.9483,0.004642958753690962,0.0018437423105315265,0.6,-0.002578221118356305,0.011180275744340573,0.009538664192273751,True,159
HOMI,177.0,177.82153,0.004641465009269119,0.008142762264963022,0.6,-0.004323875297934321,0.009071065611758477,0.008452527500437181,True,160
BHIT,26.0,26.119516,0.004596754220815802,-0.0010588719294621907,0.4,-0.01254755166860726,0.010745180570162249,0.021525684975844967,False,161
UNTD,79.0,79.358505,0.004538021811956105,0.004295638844936667,0.8,-0.0012121852440170277,0.012633968304984177,0.006119344860034911,True,162
IPOL,105.0,105.47548,0.004528372628348177,0.006277683803013412,0.8,-0.0006748308454241677,0.012515040806361588,0.0053500291591116675,True,163
PWON,266.0,267.2019,0.004518391315202042,0.004273722942610414,0.8,-0.003589165479617051,0.007141044444607614,0.00817317312892577,True,164
MGRO,685.0,688.079,0.004494931854470763,0.0036794843464871274,0.6,-0.002216297901459896,0.007641227332344869,0.008373157490619216,True,165
AMAR,210.0,210.93289,0.004442342122395804,0.005970691499255887,0.8,-0.0004130336216518148,0.008338695707775257,0.004449655799258685,True,166
DIVA,122.0,122.53528,0.004387477186859656,0.005483408443263338,0.6,-0.00946114962218234,0.01836307713242826,0.013083891452793497,True,167
SKBM,540.0,542.348,0.004348121925636561,-0.0027817337601273584,0.4,-0.009486174406828685,0.010345798068576407,0.020938554090126855,False,168
BDKR,155.0,155.673,0.004341981949344787,0.004549974010836788,1.0,0.0018219781691028113,0.009627173639112963,0.0025120448915951638,True,169
JPFA,2160.0,2169.297,0.004304199218749982,0.004754525643807961,0.6,-0.00500137894241901,0.008185831705729152,0.010141791631495185,True,170
ADMF,8375.0,8410.496,0.004238362873134327,-0.002202425373134309,0.4,-0.0031483675373134234,0.006365555037313442,0.010919253617227105,False,171
SMKL,151.0,151.63004,0.004172480501086495,0.009875872277266051,0.6,-0.009985109038700335,0.012875305579987551,0.013301606747346463,True,172
LRNA,184.0,184.76622,0.004164239634638234,0.004637013310971438,1.0,0.0013336845066236336,0.013614057457965335,0.0026458888141769354,True,173
PUDP,300.0,301.2414,0.004138020833333344,0.0031152343750000533,0.8,0.00036210123697917335,0.0084242960611979,0.004281630330520512,True,174
PTSP,890.0,893.62744,0.004075804292485952,0.003129457623771037,0.6,-0.0030936457601826286,0.014408589909585646,0.009039172636049708,True,175
WMPP,24.0,24.096035,0.004001410802205396,0.014898379643758064,0.8,-0.026488224665323943,0.023552401860555027,0.030780865145899308,True,176
IRRA,374.0,375.4628,0.003911243785511376,0.0037308147246823964,1.0,0.0017729244130181066,0.006094197155957604,0.002581276792269714,True,177
TINS,3560.0,3573.5715,0.0038122558593750135,0.0018466906601124489,0.8,-0.015250106982970489,0.010395823275105309,0.02047280491780155,True,178
TPMA,462.0,463.73322,0.003751535126657224,0.006190708705357206,0.8,-0.008163095449472378,0.007825010885923933,0.011218152279327575,True,179
MMIX,725.0,727.66815,0.0036802094558189722,0.0012907462284483806,0.6,-0.010352926320043143,0.021304502289870665,0.014427901085129952,True,180
CFIN,340.0,341.24347,0.0036572445140165668,0.0036440681008731435,0.6,-0.0018769567153033239,0.0073754344267003445,0.006205510520980656,True,181
BAYU,1145.0,1149.1819,0.003652322427674681,0.0055570244268559055,0.6,-0.0009003991539301204,0.005118019070687785,0.004200570319222747,True,182
CASS,1890.0,1896.7942,0.0035948350694444907,0.0039862738715277235,0.8,0.0007054759837963331,0.00518289878885585,0.0028470073822877513,True,183
PEGE,92.0,92.326935,0.0035536392875339605,0.002255232437797128,0.8,-1.4396335767652359e-05,0.008140414694081199,0.004489942359954819,True,184
AALI,6850.0,6874.253,0.00354063070255477,0.002199047673357768,0.8,-0.0007939096715328109,0.006017121920620427,0.005506013873120624,True,185
KREN,14.0,14.049316,0.0035225595746721126,0.02023935317993164,0.6,-0.04094215120588034,0.012746783665248307,0.04090907700801083,True,186
TOTO,242.0,242.84897,0.003508197374580324,0.003889604048295414,0.8,0.00010828696006586207,0.008630320651472134,0.0032429114376599528,True,187
